w,eyedist,nosedist,area,target
122,59.9666574022598,21.908902300206645,656.9018191480368,1
122,60.991802727907626,21.97726097583591,670.2163829689632,1
122,59.924953066314536,21.908902300206645,656.4449710371769,1
122,62.80127387243033,22.64950330581225,711.2088300914156,1
122,59.924953066314536,22.9128784747792,686.526583607656,1
122,60.92618484691127,21.908902300206645,667.4129156676547,1
122,56.991227395100026,22.9128784747792,652.9165337162169,1
122,59.0,20.97617696340303,618.7972204203894,1
122,58.0,21.908902300206645,635.3581667059927,1
122,59.0,21.97726097583591,648.3291987871594,1
122,57.99137866959192,21.97726097583591,637.2458316850727,1
122,57.86190456595773,21.0,607.5499979425562,1
122,58.92367945062494,22.0,648.1604739568743,1
122,60.868711174132805,21.0,639.1214673283945,1
122,61.87083319303208,23.0,711.5145817198688,1
122,65.99242380758567,22.0,725.9166618834423,1
122,61.0,21.97726097583591,670.3064597629952,1
122,61.0,21.97726097583591,670.3064597629952,1
122,58.787753826796276,20.904544960366874,614.4656214956212,1
122,58.966091951222275,21.97726097583591,647.9565957685746,1
122,60.991802727907626,20.97617696340303,639.687423668779,1
122,61.99193495931547,20.97617696340303,650.1768990051861,1
122,59.924953066314536,21.0,629.2120071963026,1
122,59.924953066314536,22.978250586152114,688.48529396059,1
122,62.03224967708329,21.79449471770337,675.9807689572242,1
122,64.62197768561404,21.97726097583591,710.1070341856922,1
122,57.688820407423826,20.97617696340303,605.0454528380492,1
122,58.787753826796276,20.0,587.8775382679628,1
122,57.784080852774665,20.0,577.8408085277466,1
122,56.568542494923804,21.97726097583591,621.6108107168021,1
122,56.568542494923804,19.974984355438178,564.9778756730213,1
122,57.688820407423826,19.974984355438178,576.1666425609868,1
122,57.784080852774665,20.97617696340303,606.044552817695,1
122,60.794736614282655,23.0,699.1394710642505,1
122,56.68333088307355,20.97617696340303,594.4997897392395,1
122,57.784080852774665,21.97726097583591,634.9679125751159,1
122,56.68333088307355,20.97617696340303,594.4997897392395,1
122,56.78027826631356,20.904544960366874,593.4829399401469,1
122,55.776339069537364,20.904544960366874,582.9894939019057,1
122,55.776339069537364,21.97726097583591,612.9055800039677,1
122,55.560777532356404,21.908902300206645,608.6378233399564,1
122,54.67174773134658,19.8997487421324,543.9770215735219,1
122,54.772255750516614,19.974984355438178,547.037475864314,1
122,54.772255750516614,19.974984355438178,547.037475864314,1
122,54.772255750516614,20.904544960366874,572.4945414586938,1
122,53.665631459994955,19.8997487421324,533.9662910708878,1
122,54.67174773134658,20.904544960366874,571.444004255885,1
122,54.772255750516614,20.97617696340303,574.4562646538029,1
122,55.776339069537364,20.904544960366874,582.9894939019057,1
122,55.776339069537364,22.9128784747792,638.9982394341944,1
122,54.772255750516614,21.908902300206645,600.0,1
122,54.67174773134658,22.9128784747792,626.3435558860647,1
122,54.55272678794342,25.92296279363144,707.0841534074992,1
122,55.776339069537364,24.919871588754223,694.9696036518432,1
122,54.85435260760991,22.9128784747792,628.4355575554266,1
122,54.85435260760991,21.908902300206645,600.8993260106056,1
122,52.848841046895245,20.97617696340303,554.2833210552163,1
122,53.85164807134504,21.908902300206645,589.9152481501051,1
122,53.76802023508026,21.908902300206645,588.9991511029536,1
122,53.85164807134504,21.908902300206645,589.9152481501051,1
122,53.91660226683428,21.908902300206645,590.6267857115862,1
122,49.839743177508446,20.97617696340303,522.723636350988,1
122,51.91338940966964,20.784609690826528,539.4997683039354,1
122,52.91502622129181,21.908902300206645,579.6550698475776,1
122,52.91502622129181,21.908902300206645,579.6550698475776,1
122,53.96295025292817,22.9128784747792,618.2232606429492,1
122,54.85435260760991,21.908902300206645,600.8993260106056,1
122,56.859475903318,22.80350850198276,648.297771089798,1
122,55.85696017507576,23.916521486202797,667.9520940905867,1
122,54.96362433464518,21.908902300206645,602.0963378065009,1
122,53.91660226683428,21.97726097583591,592.4696194742816,1
122,53.76802023508026,21.79449471770337,585.9234164974123,1
81,53.85164807134504,20.97617696340303,564.8008498577175,1
122,52.848841046895245,21.908902300206645,578.9300475877893,1
81,53.85164807134504,20.97617696340303,564.8008498577175,1
122,52.848841046895245,21.908902300206645,578.9300475877893,1
122,53.85164807134504,20.97617696340303,564.8008498577175,1
81,53.85164807134504,21.97726097583591,591.7558618214102,1
122,53.85164807134504,20.97617696340303,564.8008498577175,1
